word,mean_impact,std_impact,frequency,max_impact,min_impact,impact_range
editor,0.11475556298011107,0.03563546836296794,7,0.2020442772144755,0.10020744394105034,0.10183683327342515
continue,-0.1137489988167375,0.0,6,-0.1137489988167375,-0.1137489988167375,0.0
who,0.11363156613027756,0.06335805901605925,36,0.38583261740054187,0.08888601601479902,0.29694660138574286
could,-0.11306052782649684,0.03041688427969062,24,-0.10388949214946108,-0.2139419202738902,0.11005242812442911
when,0.11260055361972587,0.1526993748339137,17,0.5612526541198192,0.056982524632111016,0.5042701294877081
instead,0.112535338211088,0.03519588312674871,7,0.1987472929182545,0.0981666790932269,0.10058061382502759
contribs,0.11248199255848983,0.0,6,0.11248199255848983,0.11248199255848983,0.0
know,-0.11195542786541449,0.02833256061423654,32,-0.10463999217112446,-0.22168696327976478,0.11704697110864032
fuck,0.110697523777276,0.05338274210785491,18,0.27536274628665974,0.08413861692092381,0.19122412936573593
might,0.10970463722805844,0.0,6,0.10970463722805844,0.10970463722805844,0.0
for,-0.10968471602597735,0.13285187438498272,118,-0.05088304553313746,-0.7910000714696823,0.7401170259365448
but,0.1084867578580961,0.07660616168205936,79,0.4695537963003,0.07061259298653619,0.3989412033137638
yet,-0.1077304314065115,0.0,7,-0.1077304314065115,-0.1077304314065115,0.0
long,-0.10622842629522522,0.06019614352228832,6,-0.07930789251539114,-0.24083109519439552,0.16152320267900439
section,-0.1054987626560241,0.03415518596381814,14,-0.09155496637582003,-0.18916154033724863,0.0976065739614286
content,-0.10522652669274868,0.0,10,-0.10522652669274868,-0.10522652669274868,0.0
fucking,0.10404423862267585,0.04786825013485222,18,0.2637437606835751,0.08408179836506344,0.17966196231851164
please,-0.10300730011579713,0.049847934583984184,20,-0.07976558077559019,-0.26569933549724567,0.18593375472165546
from,-0.10237967029773024,0.13041948657233146,39,-0.06011892657299198,-0.6879928333405323,0.6278739067675403
any,-0.10209681339040341,0.03879456339167596,32,-0.07782913642775735,-0.16411421007272115,0.0862850736449638
correct,0.10200773466329545,1.3877787807814457e-17,6,0.10200773466329544,0.10200773466329544,0.0
move,-0.10093682221896931,0.0,5,-0.10093682221896931,-0.10093682221896931,0.0
well,-0.1001330714339875,1.3877787807814457e-17,10,-0.10013307143398752,-0.10013307143398752,0.0
before,-0.09931128564116813,0.029857850126526888,17,-0.08840874028589663,-0.1810803758057044,0.09267163551980778
means,0.09905162717131806,0.04656704589707432,7,0.19037711783268452,0.06252143090677148,0.12785568692591304
entry,0.09894019490603699,0.050989758482973324,6,0.1990820925842121,0.0655595623466453,0.13352253023756683
vandalism,-0.09756307263746829,0.032157674308833845,12,-0.08318172348689808,-0.16946981839031933,0.08628809490342125
they,0.09711490681284242,0.05098570082199255,13,0.2395690973637514,0.07121414489449532,0.16835495246925608
write,0.09642176808125939,0.027772092083199643,9,0.1749731066403302,0.08660285076137554,0.08837025587895465
claim,-0.09540215538188586,0.029731119726124213,7,-0.0832644765801192,-0.16822822819248573,0.08496375161236652
adding,-0.09407362798003127,0.0,5,-0.09407362798003127,-0.09407362798003127,0.0
version,-0.09378349986222999,0.033560196718618665,6,-0.0700528571845402,-0.14124478521760953,0.07119192803306933
attack,-0.09358144975294065,1.3877787807814457e-17,7,-0.09358144975294064,-0.09358144975294064,0.0
sources,-0.0932140022990024,0.0,9,-0.0932140022990024,-0.0932140022990024,0.0
completely,0.09138617949137016,0.08519099540979118,5,0.20688943971807666,0.02208422335534628,0.1848052163627304
have,-0.09050533479550975,0.1845000440249268,96,-0.04956706024987078,-1.4130622451168662,1.3634951848669954
com,-0.09050299077800458,0.053186319627524396,7,-0.0568650087010655,-0.17459794597035228,0.11773293726928677
criteria,-0.08985661600517147,0.03156921385743687,7,-0.06251687482712742,-0.12630960424256357,0.06379272941543615
image,0.08829527116050655,0.06750402993922519,8,0.22330333103895694,0.04329258453435642,0.18001074650460053
personal,-0.0882476391485634,0.0,8,-0.0882476391485634,-0.0882476391485634,0.0
bitch,0.08756480372053224,0.05065873607516911,7,0.21165285811901913,0.06688346132078443,0.1447693967982347
so,-0.08735273495764052,0.03847753315411656,43,-0.07126271194094491,-0.24423045937042281,0.1729677474294779
man,0.08711861310556943,0.0,5,0.08711861310556943,0.08711861310556943,0.0
